business_type,industry,monthly_revenue,monthly_expenses,monthly_profit,marketing_budget,sales_channel,years_in_business,employee_count,customer_retention_rate,customer_acquisition_cost,location_type,competition_level,market_growth_rate,digital_presence_score,inventory_turnover_rate,operational_cost_ratio,average_order_value,customer_satisfaction_score,brand_strength_score,starting_budget,founder_experience_years,team_size,target_market_size,product_uniqueness_score,marketing_strategy_score,funding_type,business_model_type,scalability_score,innovation_score,customer_validation_score,future_6_month_profit
Manufacturing,Healthcare,136421,16605,119816,8767,Offline,4,98,60,199,Rural,8,7,9,1.56,0.61,1163,96,85,321255,6,3,313571,4,6,Bank Loan,B2C,6,1,8,120438
Manufacturing,IT,33234,68441,-35207,12954,Both,8,30,94,53,Urban,5,6,6,5.98,0.42,631,71,96,379728,14,39,798260,4,3,VC,Hybrid,1,6,2,-39361
Manufacturing,Healthcare,85545,97180,-11635,11865,Online,12,134,62,177,Rural,2,4,1,1.97,0.3,876,70,64,129767,6,36,52078,1,5,VC,Hybrid,2,5,8,5787
Trading,Healthcare,121834,99555,22279,28146,Online,1,44,71,69,Rural,8,11,9,6.25,0.78,1414,80,86,462498,14,27,659789,4,9,Bank Loan,B2C,9,2,8,25441
Services,IT,180359,54711,125648,9804,Offline,6,101,72,72,Rural,1,9,1,7.3,0.53,920,99,89,447234,7,7,589205,3,7,Bootstrapped,B2C,3,8,4,132602
Trading,Food,100910,135430,-34520,7408,Both,4,159,85,166,Rural,6,9,1,5.95,0.77,388,63,71,371345,10,6,253322,1,6,VC,B2C,6,4,8,-33732
Trading,FMCG,84435,55631,28804,22103,Both,5,161,53,85,Rural,2,11,3,5.86,0.63,1934,86,54,121315,11,11,610613,6,8,Angel,Hybrid,7,8,2,27032
Manufacturing,Construction,37368,106751,-69383,29306,Online,12,104,53,142,Urban,8,5,8,5.56,0.76,1922,68,78,225399,9,23,188954,7,1,Angel,B2B,5,5,4,-73556
Services,IT,144085,132718,11367,5072,Both,6,59,89,152,Rural,5,9,5,3.35,0.78,216,85,90,90738,11,39,673937,7,2,Angel,B2C,2,1,3,25623
Manufacturing,FMCG,87526,34956,52570,15472,Offline,1,33,92,159,Rural,2,5,1,2.25,0.88,788,79,71,146731,8,8,740880,7,3,Angel,B2C,8,3,1,69929
Manufacturing,Education,193532,105397,88135,25570,Offline,2,5,63,124,Urban,2,2,6,4.09,0.54,1801,63,50,102487,7,4,88623,3,2,VC,Hybrid,1,7,7,90446
Manufacturing,Construction,125947,41399,84548,17708,Offline,8,69,52,196,Rural,8,6,9,6.6,0.41,1732,87,96,377073,3,33,883559,8,4,Bank Loan,B2C,4,5,6,99394
Services,Food,141300,101925,39375,2822,Both,2,11,59,16,Rural,1,7,5,1.19,0.41,1671,88,67,451921,1,48,33236,4,2,VC,B2C,3,7,7,49445
Manufacturing,FMCG,136243,29596,106647,15221,Both,14,141,83,62,Rural,3,4,6,6.46,0.37,1281,82,81,232992,18,18,536861,9,8,Angel,B2C,2,9,7,102451
Manufacturing,Food,43752,70029,-26277,20925,Both,4,158,78,118,Rural,2,7,5,1.13,0.85,1976,95,90,81653,2,18,949684,9,6,VC,Hybrid,7,5,6,-13592
Trading,Construction,71226,96182,-24956,6263,Offline,2,16,94,62,Urban,7,10,1,3.93,0.53,733,61,92,242192,19,37,587564,5,8,Angel,B2B,4,1,7,-12927
Services,Healthcare,136021,19853,116168,25863,Both,1,40,69,90,Rural,2,9,2,1.75,0.35,1140,60,74,443276,11,41,65337,9,7,Bank Loan,B2B,3,3,2,133764
Manufacturing,Food,185092,101123,83969,11650,Offline,14,106,83,21,Urban,3,5,1,1.96,0.87,1946,71,65,140327,19,9,153326,5,1,Angel,Hybrid,7,5,6,87332
Services,Healthcare,125423,73053,52370,17896,Both,2,93,61,152,Rural,9,13,7,8.0,0.63,1209,66,63,218270,7,10,938626,8,2,VC,Hybrid,7,2,4,52689
Manufacturing,Food,45510,34426,11084,19850,Both,10,107,66,23,Urban,8,3,2,7.19,0.62,1085,82,93,222070,15,5,851052,6,9,VC,B2B,2,1,2,10581
Manufacturing,Education,143618,140341,3277,11996,Both,13,22,81,105,Rural,3,11,7,1.07,0.33,576,75,93,370750,10,31,191144,7,4,VC,B2C,5,1,1,2623
Services,Food,22050,124996,-102946,26951,Online,14,72,67,199,Rural,5,9,1,7.37,0.33,498,83,53,93001,5,38,248506,6,7,Angel,B2B,8,8,2,-106781
Trading,FMCG,199352,39262,160090,24074,Online,8,152,78,72,Rural,6,5,3,4.59,0.44,325,85,90,208448,3,7,978452,6,7,Bank Loan,B2C,1,9,3,169989
Trading,Construction,169369,45448,123921,9657,Online,3,182,67,71,Rural,1,8,3,6.71,0.43,1243,84,58,152979,14,38,775537,9,8,VC,Hybrid,3,9,3,129027
Manufacturing,FMCG,123320,103801,19519,11752,Online,5,143,83,133,Rural,6,8,5,1.34,0.62,136,72,77,398100,13,18,135991,3,3,Bootstrapped,Hybrid,8,8,2,28293
Manufacturing,Construction,91719,114616,-22897,9314,Both,8,96,82,68,Rural,9,13,9,7.51,0.36,1790,97,56,244692,11,46,84553,9,3,VC,Hybrid,7,5,7,-7202
Trading,FMCG,112241,141209,-28968,27164,Online,13,16,88,22,Rural,1,9,1,1.81,0.53,547,83,94,308722,16,7,610530,7,9,VC,Hybrid,2,5,6,-17891
Trading,IT,164579,98807,65772,19649,Both,4,196,66,21,Urban,6,1,6,3.42,0.67,309,73,96,74860,12,37,494090,3,4,VC,B2B,7,1,6,73543
Trading,FMCG,51598,108106,-56508,13745,Both,14,33,53,108,Rural,9,7,7,6.78,0.48,1923,61,96,390941,11,28,587218,1,8,Bank Loan,B2C,5,5,4,-49707
Services,Textile,68901,114986,-46085,9424,Online,10,128,87,24,Urban,2,13,3,1.22,0.69,1647,77,64,466235,16,28,765271,9,1,Bootstrapped,Hybrid,5,8,2,-45459
Services,Food,181779,97879,83900,10884,Offline,8,64,52,157,Rural,9,14,7,1.88,0.71,1863,68,87,377599,2,25,616791,1,8,Bootstrapped,B2C,5,2,2,84959
Services,Food,103309,141446,-38137,28143,Offline,11,49,74,42,Rural,6,9,8,6.07,0.75,1676,76,61,437960,14,33,255198,6,6,Angel,B2B,4,1,8,-34780
Services,Textile,42431,76681,-34250,18385,Online,1,37,90,167,Rural,1,13,4,3.5,0.49,1289,98,75,100861,18,16,865009,7,1,VC,Hybrid,8,3,6,-14834
Trading,FMCG,137832,145406,-7574,27291,Both,8,76,77,71,Rural,4,14,7,5.63,0.63,1513,81,75,345806,3,42,787915,2,6,VC,B2B,7,9,3,-12022
Manufacturing,Education,177817,138629,39188,6780,Both,8,123,81,60,Urban,2,6,2,5.57,0.5,411,62,77,391705,19,36,448716,6,1,VC,B2B,7,1,5,53999
Services,FMCG,79321,147028,-67707,10595,Both,5,8,77,117,Rural,4,12,8,4.8,0.61,1740,95,83,465231,4,3,299102,2,4,Angel,B2B,6,7,3,-70636
Services,FMCG,37778,57229,-19451,22098,Online,13,22,89,30,Rural,1,3,8,3.84,0.66,1421,73,63,230225,5,6,186037,9,6,Bootstrapped,B2C,8,7,9,-3335
Services,Construction,121459,60893,60566,29514,Offline,9,32,51,172,Rural,5,5,1,6.41,0.38,400,82,96,285806,11,11,54738,6,9,Angel,B2C,1,5,4,58782
Services,Food,99530,123856,-24326,25413,Both,4,32,92,174,Urban,5,12,5,6.47,0.72,1947,87,96,199381,12,21,947841,2,9,Bank Loan,Hybrid,5,4,1,-12367
Services,Textile,190102,147130,42972,12724,Offline,5,63,54,170,Urban,1,3,4,7.91,0.88,1934,93,74,401537,7,32,328647,2,7,Bootstrapped,B2B,6,4,7,58649
Manufacturing,IT,42911,119061,-76150,3969,Offline,10,128,57,94,Rural,1,7,8,2.09,0.44,1618,81,96,98320,11,11,791725,2,2,Bank Loan,B2B,1,8,8,-68555
Manufacturing,FMCG,130448,65138,65310,6440,Online,14,37,50,156,Rural,5,5,9,1.75,0.69,1109,65,58,254456,16,14,692568,5,9,VC,B2C,4,2,6,70365
Services,Construction,49165,82203,-33038,5553,Offline,2,145,90,32,Rural,3,13,1,1.84,0.63,1724,80,64,401296,12,8,896926,5,3,Angel,B2B,9,1,1,-33924
Trading,Education,159999,108680,51319,16437,Both,10,15,84,119,Rural,2,14,9,3.66,0.82,915,61,55,273131,12,6,616177,5,4,Angel,B2B,7,6,2,68762
Services,Education,178059,93714,84345,27580,Both,5,155,92,89,Rural,5,12,9,5.58,0.53,423,80,62,308517,19,35,318557,4,5,Bank Loan,Hybrid,4,3,8,85915
Manufacturing,Food,141999,129793,12206,11873,Both,2,181,62,141,Rural,9,14,7,5.77,0.41,1008,90,56,330887,17,43,739532,8,4,VC,B2C,4,4,6,29129
Trading,Food,120102,74189,45913,23675,Offline,8,177,91,56,Rural,7,6,6,4.61,0.66,1149,68,64,131929,10,9,737191,1,5,VC,B2C,4,2,8,50513
Services,Construction,187523,51041,136482,2145,Both,3,168,59,192,Rural,2,5,1,6.16,0.82,730,80,66,484837,16,38,550302,3,7,Bootstrapped,B2B,9,9,9,154866
Services,IT,37727,127418,-89691,28153,Both,6,129,88,178,Rural,1,11,7,3.39,0.79,1703,85,87,126329,7,46,326397,4,8,Bank Loan,B2C,5,1,4,-90333
Services,Textile,165282,31456,133826,12106,Offline,6,173,88,22,Rural,1,12,2,5.69,0.34,259,80,57,368693,8,4,509499,3,6,Bootstrapped,B2C,6,2,7,150682
Manufacturing,IT,170273,140541,29732,28977,Offline,7,34,57,159,Urban,4,5,9,2.19,0.55,769,75,61,210400,16,13,161175,4,3,Bootstrapped,B2C,7,3,8,44990
Services,Food,49301,33752,15549,2148,Online,4,154,67,41,Rural,1,5,6,2.12,0.34,1927,92,72,269249,13,3,225400,5,2,Angel,Hybrid,9,9,1,27218
Services,IT,147810,53067,94743,25958,Both,10,59,55,172,Rural,6,11,6,4.97,0.53,111,97,67,137468,3,31,201703,6,3,Angel,B2C,7,4,9,99660
Services,Healthcare,98222,127020,-28798,8721,Offline,11,134,84,29,Urban,2,10,9,5.03,0.59,1412,95,80,55901,1,47,303199,6,4,Bootstrapped,B2C,3,3,9,-9572
Services,FMCG,43429,65200,-21771,17476,Offline,2,140,70,34,Urban,4,13,4,4.08,0.36,489,91,78,398413,2,24,737506,3,5,Bank Loan,B2B,3,2,9,-20999
Trading,Education,197404,134863,62541,28706,Online,9,103,70,82,Urban,3,7,1,4.57,0.9,884,96,88,477387,4,39,259062,2,5,Angel,B2C,4,3,7,62619
Services,FMCG,46715,42605,4110,11956,Offline,13,90,54,192,Rural,2,14,5,1.13,0.46,749,82,88,272084,1,14,688100,2,5,Bootstrapped,Hybrid,5,2,5,659
Services,Food,151743,15163,136580,13234,Online,1,192,60,158,Rural,4,7,5,4.42,0.39,1687,77,89,122930,9,30,822467,6,5,Bank Loan,B2C,1,9,1,140236
Services,IT,23191,105536,-82345,18955,Offline,13,101,59,67,Urban,8,5,7,5.62,0.84,299,74,66,57099,13,20,975188,1,7,Bank Loan,Hybrid,5,8,8,-81073
Services,IT,80920,78530,2390,9788,Offline,3,156,84,161,Urban,1,5,4,6.16,0.51,465,95,60,251139,15,20,659714,3,5,Angel,B2B,5,6,8,846
Trading,Textile,156511,57533,98978,8511,Offline,12,85,80,145,Rural,8,9,9,3.67,0.42,1684,95,53,469405,9,42,481256,7,2,Bank Loan,Hybrid,5,4,8,107257
Services,Education,37153,74765,-37612,11908,Both,12,15,59,24,Rural,1,8,2,2.57,0.52,1950,73,74,405093,12,33,861378,1,8,Bank Loan,Hybrid,5,3,7,-41832
Manufacturing,Construction,96272,52643,43629,13182,Both,2,153,62,158,Urban,8,14,8,4.9,0.41,1859,70,71,108005,11,26,577829,2,2,Angel,B2C,5,4,2,56269
Manufacturing,FMCG,64638,35567,29071,5754,Online,5,193,82,193,Rural,3,6,3,2.06,0.36,207,84,86,210878,8,43,787401,8,1,Bootstrapped,B2B,5,3,1,34588
Trading,IT,58787,36727,22060,26417,Both,11,14,70,137,Urban,7,11,2,3.49,0.77,599,95,71,158777,12,18,204509,9,2,Angel,B2B,5,9,4,27107
Trading,IT,137322,115082,22240,7110,Offline,6,60,68,110,Urban,4,13,4,6.05,0.83,326,85,86,385589,8,40,200868,6,4,VC,B2C,9,4,1,41526
Services,Textile,47766,83099,-35333,5586,Online,8,84,53,129,Urban,8,2,2,5.22,0.31,1014,78,71,493031,13,13,993581,6,5,Bootstrapped,B2B,4,3,4,-37041
Services,IT,25469,43854,-18385,27782,Online,1,150,77,56,Urban,9,12,6,5.5,0.55,1383,79,97,178046,15,7,695614,7,9,Bank Loan,B2C,5,9,4,-17129
Services,Education,159401,61850,97551,15930,Offline,1,98,94,90,Urban,3,5,3,2.82,0.56,680,88,86,355107,17,22,779097,5,4,Angel,Hybrid,6,4,7,114003
Trading,Textile,25105,132666,-107561,5384,Offline,4,74,90,191,Rural,9,4,8,4.3,0.31,1531,89,71,415446,3,29,83997,8,6,Bank Loan,B2C,9,6,9,-109722
Trading,Healthcare,116044,20347,95697,10017,Offline,10,111,70,187,Rural,1,11,7,1.6,0.44,771,70,69,301351,15,49,245718,5,8,VC,B2C,9,5,5,93340
Services,IT,48228,137788,-89560,26946,Offline,9,89,61,198,Urban,9,1,2,6.04,0.55,1116,66,71,331590,1,18,216487,2,9,Bootstrapped,B2B,7,6,1,-76238
Services,FMCG,106544,65669,40875,12849,Offline,1,78,70,14,Rural,2,6,9,5.68,0.58,534,98,71,308635,15,41,523317,3,3,Bootstrapped,Hybrid,1,7,5,48360
Services,Textile,163891,78870,85021,15171,Both,6,147,89,88,Urban,6,4,9,4.92,0.75,980,61,74,203335,3,9,887611,1,4,Angel,B2B,3,6,7,89304
Services,FMCG,199635,103664,95971,15489,Both,11,151,54,60,Urban,8,12,8,3.01,0.78,263,96,70,450455,9,48,181918,8,2,Bank Loan,Hybrid,4,6,2,109781
Services,FMCG,57711,21530,36181,2258,Online,11,118,92,49,Rural,6,1,1,1.23,0.52,1027,96,53,89901,6,47,921093,3,9,VC,B2B,7,1,7,42297
Manufacturing,Food,72756,130357,-57601,25713,Online,4,160,87,68,Urban,7,11,5,4.92,0.62,1916,79,83,205289,5,36,680396,9,4,Bank Loan,B2B,6,2,6,-41853
Services,Education,182002,96835,85167,23953,Offline,12,112,58,140,Rural,5,12,8,1.61,0.73,1798,93,90,253058,15,19,212041,9,7,Bootstrapped,B2B,6,1,5,104095
Trading,IT,169130,47602,121528,14576,Both,4,129,65,171,Urban,2,3,8,1.03,0.71,553,68,69,78795,1,9,701958,7,3,Bootstrapped,Hybrid,4,9,6,125650
Trading,Food,132782,117932,14850,11528,Both,5,185,63,154,Rural,7,9,3,1.41,0.84,1238,92,55,385098,2,47,667957,4,5,Bootstrapped,Hybrid,8,3,3,16220
Services,FMCG,32109,37010,-4901,12096,Both,9,172,73,23,Rural,6,7,6,7.01,0.48,1046,62,91,464994,9,29,801507,7,9,Bootstrapped,Hybrid,7,9,3,-1114
Manufacturing,Construction,72142,71307,835,27719,Both,6,185,85,177,Rural,1,14,9,1.09,0.58,188,73,60,145028,3,42,501450,9,4,VC,B2C,4,8,2,328
Trading,FMCG,101768,121108,-19340,24101,Offline,9,124,65,71,Rural,1,14,3,2.87,0.77,1592,80,54,370787,5,4,411067,1,5,Bootstrapped,B2C,9,9,4,-167
Manufacturing,Construction,111170,24168,87002,19111,Both,1,12,94,96,Rural,8,12,6,4.04,0.76,1996,78,75,177795,8,22,886338,6,4,Bootstrapped,B2B,9,3,4,102963
Services,Construction,169302,45795,123507,10770,Online,6,198,73,171,Rural,7,9,1,2.88,0.54,313,84,67,207584,12,7,669738,8,3,Bank Loan,B2C,1,9,1,134807
Trading,FMCG,115074,88869,26205,19839,Offline,13,88,62,198,Rural,6,1,1,2.53,0.32,991,92,75,408182,17,43,146554,6,9,VC,B2B,9,8,5,26615
Services,IT,90448,19648,70800,28388,Offline,3,63,88,192,Rural,9,7,3,4.15,0.86,1680,60,89,373179,19,13,776535,8,5,Angel,B2C,1,7,5,66655
Trading,Textile,188455,128816,59639,26749,Both,7,162,94,184,Urban,7,1,4,5.81,0.37,1089,92,85,198049,5,20,568830,8,4,Bootstrapped,Hybrid,1,1,3,67785
Services,Food,170158,76350,93808,7054,Offline,13,109,59,60,Rural,2,3,6,1.81,0.39,870,79,55,372202,2,30,171445,3,8,Bank Loan,B2C,2,1,9,94697
Trading,FMCG,179741,109475,70266,4282,Offline,1,59,94,110,Urban,5,14,1,2.51,0.58,1531,97,77,322660,11,19,393395,3,7,Bank Loan,B2B,9,5,6,84116
Manufacturing,Healthcare,82493,51027,31466,3823,Online,3,199,77,181,Urban,9,7,8,7.23,0.31,1948,95,82,289511,7,35,491719,5,7,Angel,Hybrid,4,5,8,36547
Services,Food,41312,132961,-91649,19297,Both,12,167,92,135,Urban,1,1,6,6.93,0.62,1811,71,87,145040,4,46,445633,5,8,Bank Loan,Hybrid,8,3,4,-89038
Services,FMCG,27597,62093,-34496,8591,Offline,11,55,55,68,Urban,5,14,5,6.85,0.52,223,96,84,470950,6,5,993825,9,1,Bank Loan,B2B,4,1,6,-35038
Services,Food,130659,42716,87943,17848,Offline,1,145,83,118,Urban,6,5,7,4.08,0.48,1539,80,95,132302,12,22,477243,7,4,Bank Loan,Hybrid,3,1,8,86179
Trading,Education,101532,70778,30754,27710,Both,2,143,85,188,Rural,1,3,2,5.36,0.64,861,78,86,200023,5,18,831860,4,6,Bootstrapped,B2B,3,5,2,30758
Services,Construction,175914,41421,134493,5630,Offline,12,153,60,14,Urban,1,8,4,4.27,0.32,1705,76,68,415209,16,45,48635,4,6,Bootstrapped,Hybrid,7,4,6,131201
Trading,FMCG,179136,137813,41323,4454,Offline,11,196,66,188,Rural,5,14,2,4.1,0.66,1874,63,56,234482,16,10,634455,4,1,VC,B2C,1,1,1,49850
Manufacturing,Education,122239,126431,-4192,9742,Both,6,71,54,22,Urban,7,2,6,5.81,0.73,1689,69,91,470159,16,13,677304,8,3,Bootstrapped,Hybrid,8,9,3,5290
Services,Food,97842,137225,-39383,21225,Online,1,75,79,144,Urban,3,1,4,6.84,0.74,1672,72,89,390615,5,10,21390,1,4,Angel,B2B,3,2,8,-33880
Trading,Education,97064,36281,60783,17743,Both,4,162,80,111,Rural,3,8,3,5.42,0.65,1413,78,87,72031,2,41,605600,7,2,VC,B2B,6,2,2,77204
Trading,IT,136185,25350,110835,23793,Offline,7,199,57,129,Rural,7,11,6,3.25,0.59,420,76,90,203245,13,22,132258,5,3,VC,B2C,9,9,6,108390
Trading,IT,181822,31566,150256,25071,Online,14,78,59,63,Urban,4,4,2,2.69,0.73,1111,83,64,96101,4,14,197450,7,8,VC,B2C,2,7,2,152446
Trading,IT,188785,61154,127631,16027,Online,1,83,80,102,Rural,2,6,6,7.27,0.65,1899,65,54,130811,11,2,212346,3,9,VC,B2B,2,4,4,129647
Manufacturing,IT,167281,128550,38731,27682,Offline,1,116,61,188,Rural,5,1,7,4.46,0.53,1852,69,96,406374,11,14,826228,1,8,Bootstrapped,B2C,1,4,9,44111
Services,Education,95357,93356,2001,9122,Online,3,144,86,51,Urban,1,5,6,7.7,0.6,1676,94,96,117055,18,15,133106,9,7,Bank Loan,Hybrid,9,2,5,13212
Services,Healthcare,176044,126715,49329,17887,Online,9,77,87,63,Urban,8,6,1,6.57,0.75,1872,93,58,68135,8,8,319521,3,6,Angel,B2C,5,8,6,59562
Manufacturing,Construction,74336,89083,-14747,2234,Offline,3,17,59,62,Urban,5,10,5,7.38,0.8,1972,95,63,344025,3,26,510098,6,1,Angel,B2C,6,4,8,-8232
Manufacturing,Food,32828,111664,-78836,21643,Offline,10,69,69,128,Urban,1,8,6,1.12,0.76,1857,93,86,393173,7,33,302575,5,9,Angel,B2B,1,7,7,-82435
Trading,Textile,71955,76240,-4285,8155,Offline,11,121,85,144,Rural,4,3,9,4.83,0.8,1082,84,57,323452,4,41,100306,9,2,Bank Loan,Hybrid,2,7,4,10808
Manufacturing,Education,132217,113934,18283,28423,Both,4,182,60,152,Rural,6,9,1,2.58,0.42,461,85,74,358617,13,20,903388,5,8,Bank Loan,Hybrid,8,4,1,25191
Services,FMCG,184912,47430,137482,29749,Offline,8,186,80,183,Urban,2,10,1,7.51,0.6,460,70,82,257793,6,28,447985,5,5,Bootstrapped,B2C,6,6,6,155573
Trading,Healthcare,59121,46433,12688,3932,Both,14,7,79,15,Rural,8,12,1,1.96,0.9,149,70,80,195051,12,7,38328,4,3,Bank Loan,Hybrid,8,9,5,18229
Services,Food,83761,53870,29891,2882,Both,13,63,83,26,Rural,5,2,2,6.3,0.4,107,89,81,322355,15,31,984250,7,1,Bootstrapped,B2C,4,8,2,25510
Services,FMCG,107893,92960,14933,24601,Online,4,105,77,165,Rural,5,8,8,6.94,0.74,1726,81,86,393194,3,45,355740,4,9,VC,B2C,6,8,7,28785
Services,Education,176314,70841,105473,22127,Online,9,97,56,76,Rural,4,4,5,1.23,0.33,1482,86,75,331293,17,19,55740,4,4,Bootstrapped,B2B,5,2,4,102649
